38506-0001-Data
FIPS,YEAR,REG_VOTERS (use 2020 ONLY),"REG_VOTER_TURNOUT_PCT (Average 12, 16, 20 result for EACH county)",,,,,,,,,,,,,,
1069,2016,69602,0.63180655241,,,,,,,,,,,,,,
1069,2020,80366,0.576251149178,,,,,,,,,,,,,,
1071,2012,35985,0.584799230099,,,,,,,,,,,,,,
1071,2016,36977,0.572923719883,,,,,,,,,,,,,,
1071,2020,39655,0.561593770981,,,,,,,,,,,,,,
1073,2012,435704,0.700048685074,,,,,,,,,,,,,,
1073,2016,456895,0.66934633255,,,,,,,,,,,,,,
1073,2020,505586,0.645536065102,,,,,,,,,,,,,,
1075,2012,10930,0.665507793427,,,,,,,,,,,,,,
1075,2016,10899,0.642903029919,,,,,,,,,,,,,,
1075,2020,11213,0.644876480103,,,,,,,,,,,,,,
1077,2012,55723,0.671787261963,,,,,,,,,,,,,,
1077,2016,60540,0.658671975136,,,,,,,,,,,,,,
1077,2020,68218,0.65246707201,,,,,,,,,,,,,,
1079,2012,23506,0.610780239105,,,,,,,,,,,,,,
1079,2016,23477,0.636410117149,,,,,,,,,,,,,,
1079,2020,25471,0.631541728973,,,,,,,,,,,,,,
1081,2012,97401,0.561287879944,,,,,,,,,,,,,,
1081,2016,103424,0.57558208704,,,,,,,,,,,,,,
1081,2020,124082,0.577239215374,,,,,,,,,,,,,,
1083,2012,50034,0.713954508305,,,,,,,,,,,,,,
1083,2016,58229,0.697023808956,,,,,,,,,,,,,,
1083,2020,71614,0.689571857452,,,,,,,,,,,,,,
1085,2012,10690,0.709635198116,,,,,,,,,,,,,,
1085,2016,10461,0.645922958851,,,,,,,,,,,,,,
1085,2020,10361,0.665572822094,,,,,,,,,,,,,,
1087,2012,19373,0.540081560612,,,,,,,,,,,,,,
1087,2016,18504,0.496919572353,,,,,,,,,,,,,,
1087,2020,17990,0.487548649311,,,,,,,,,,,,,,
1089,2012,233838,0.665529131889,,,,,,,,,,,,,,
1089,2016,262751,0.625531375408,,,,,,,,,,,,,,
1089,2020,303191,0.644392490387,,,,,,,,,,,,,,
1091,2012,16216,0.715527892113,,,,,,,,,,,,,,
1091,2016,16507,0.670200526714,,,,,,,,,,,,,,
1091,2020,16366,0.668581187725,,,,,,,,,,,,,,
1093,2012,19715,0.624144077301,,,,,,,,,,,,,,
1093,2016,20342,0.644233584404,,,,,,,,,,,,,,
1093,2020,22074,0.627661526203,,,,,,,,,,,,,,
1095,2012,50546,0.651347279549,,,,,,,,,,,,,,
1095,2016,55733,0.637234687805,,,,,,,,,,,,,,
1095,2020,64249,0.618702232838,,,,,,,,,,,,,,
1097,2012,277473,0.632371425629,,,,,,,,,,,,,,
1097,2016,284776,0.610448241234,,,,,,,,,,,,,,
1097,2020,315446,0.582676589489,,,,,,,,,,,,,,
1099,2012,16481,0.653783142567,,,,,,,,,,,,,,
1099,2016,16390,0.630689442158,,,,,,,,,,,,,,
1099,2020,16916,0.633010149002,,,,,,,,,,,,,,
1101,2012,155099,0.659540057182,,,,,,,,,,,,,,
1101,2016,154622,0.6233330369,,,,,,,,,,,,,,
1101,2020,165578,0.599874377251,,,,,,,,,,,,,,
1103,2012,70818,0.700090348721,,,,,,,,,,,,,,
1103,2016,75787,0.672463595867,,,,,,,,,,,,,,
1103,2020,85651,0.629356324673,,,,,,,,,,,,,,
1105,2012,8749,0.701565921307,,,,,,,,,,,,,,
1105,2016,8542,0.620346546173,,,,,,,,,,,,,,
1105,2020,8206,0.640750646591,,,,,,,,,,,,,,
1107,2012,13703,0.702984750271,,,,,,,,,,,,,,
1107,2016,14011,0.685033202171,,,,,,,,,,,,,,
1107,2020,14424,0.671519696712,,,,,,,,,,,,,,
1109,2012,21127,0.671179056168,,,,,,,,,,,,,,
1109,2016,22557,0.588065803051,,,,,,,,,,,,,,
1109,2020,23664,0.587178826332,,,,,,,,,,,,,,
1111,2012,16311,0.703696906567,,,,,,,,,,,,,,
1111,2016,16822,0.610866725445,,,,,,,,,,,,,,
1111,2020,18406,0.590731263161,,,,,,,,,,,,,,
1113,2012,33887,0.55900490284,,,,,,,,,,,,,,
1113,2016,36351,0.53288769722,,,,,,,,,,,,,,
1113,2020,42721,0.500784158707,,,,,,,,,,,,,,
1115,2012,57435,0.615060508251,,,,,,,,,,,,,,
1115,2016,58425,0.66077876091,,,,,,,,,,,,,,
1115,2020,68132,0.653892457485,,,,,,,,,,,,,,
1117,2012,132622,0.699438989162,,,,,,,,,,,,,,
1117,2016,142813,0.712701201439,,,,,,,,,,,,,,
1117,2020,165412,0.696007549763,,,,,,,,,,,,,,
1119,2012,10302,0.686274528503,,,,,,,,,,,,,,
1119,2016,10233,0.629043281078,,,,,,,,,,,,,,
1119,2020,10063,0.628440797329,,,,,,,,,,,,,,
1121,2012,52478,0.639601349831,,,,,,,,,,,,,,
1121,2016,53564,0.627828419209,,,,,,,,,,,,,,
1121,2020,59072,0.605684578419,,,,,,,,,,,,,,
1123,2012,27669,0.688387751579,,,,,,,,,,,,,,
1123,2016,30217,0.646821320057,,,,,,,,,,,,,,
1123,2020,32074,0.656856000423,,,,,,,,,,,,,,
1125,2012,122880,0.642553687096,,,,,,,,,,,,,,
1125,2016,132600,0.626598775387,,,,,,,,,,,,,,
1125,2020,150175,0.602104187012,,,,,,,,,,,,,,
1127,2012,46299,0.621244490147,,,,,,,,,,,,,,
1127,2016,46384,0.635779559612,,,,,,,,,,,,,,
1127,2020,49226,0.635578751564,,,,,,,,,,,,,,
1129,2012,14082,0.62633150816,,,,,,,,,,,,,,
1129,2016,13669,0.629819273949,,,,,,,,,,,,,,
1129,2020,13784,0.646982014179,,,,,,,,,,,,,,
1131,2012,9367,0.701825559139,,,,,,,,,,,,,,
1131,2016,9288,0.64782512188,,,,,,,,,,,,,,
1131,2020,9192,0.645670175552,,,,,,,,,,,,,,
