state,county_name,countyfp,total_reg_count,active_reg_count,inactive_reg_count,active_percentage,inactive_percentage,active_reg_percentage,inactive_reg_percentage
MT,PARK,67,13459,12518,941,0.9301,0.0699,0.9300839586893529,0.069916041
MT,PETROLEUM,69,351,347,4,0.9886,0.0114,0.9886039886039886,0.011396011396011397
MT,PHILLIPS,71,2504,2362,142,0.9433,0.0567,0.9432907348242812,0.056709265
MT,PONDERA,73,3505,3245,260,0.9258,0.0742,0.9258202567760342,0.074179743
MT,POWDER RIVER,75,1196,1175,21,0.9824,0.0176,0.9824414715719063,0.017558528428093644
MT,POWELL,77,3763,3476,287,0.9237,0.0763,0.9237310656391178,0.076268934
MT,PRAIRIE,79,775,738,37,0.9523,0.0477,0.952258065,0.047741935
MT,RAVALLI,81,33811,31720,2091,0.9382,0.0618,0.938156221,0.061843778651918015
MT,RICHLAND,83,6708,5927,781,0.8836,0.1164,0.8835718545020871,0.11642814549791294
MT,ROOSEVELT,85,5622,5034,588,0.8954,0.1046,0.8954108858057631,0.10458911419423693
MT,ROSEBUD,87,4666,4304,362,0.9224,0.0776,0.9224174882126018,0.077582512
MT,SANDERS,89,9772,9133,639,0.9346,0.0654,0.9346090871878837,0.065390913
MT,SHERIDAN,91,2224,2050,174,0.9218,0.0782,0.9217625899280576,0.07823741
MT,SILVER BOW,93,22461,20228,2233,0.9006,0.0994,0.900583233,0.099416767
MT,STILLWATER,95,6693,6261,432,0.9355,0.0645,0.9354549529359032,0.064545047
MT,SWEET GRASS,97,2709,2544,165,0.9391,0.0609,0.9390919158361019,0.060908084
MT,TETON,99,4084,3851,233,0.9429,0.0571,0.9429480901077375,0.05705191
MT,TOOLE,101,2441,2256,185,0.9242,0.0758,0.9242113887750921,0.075788611
MT,TREASURE,103,491,470,21,0.9572,0.0428,0.9572301425661914,0.042769857
MT,VALLEY,105,4882,4463,419,0.9142,0.0858,0.9141745186399017,0.085825481
MT,WHEATLAND,107,1356,1272,84,0.9381,0.0619,0.9380530973451328,0.061946902654867256
MT,WIBAUX,109,655,611,44,0.9328,0.0672,0.932824427,0.067175573
MT,YELLOWSTONE,111,102247,92066,10181,0.9004,0.0996,0.9004273964028284,0.099572604
ND,ADAMS,1,1510,1436,74,0.951,0.049,0.9509933774834437,0.049006623
ND,BARNES,3,6986,6557,429,0.9386,0.0614,0.9385914686515889,0.061408531
ND,BENSON,5,3049,2983,66,0.9784,0.0216,0.9783535585437848,0.021646441
ND,BILLINGS,7,745,729,16,0.9785,0.0215,0.97852349,0.021476510067114093
ND,BOTTINEAU,9,4341,4166,175,0.9597,0.0403,0.9596867081317668,0.040313291868233125
ND,BOWMAN,11,2042,1983,59,0.9711,0.0289,0.9711067580803134,0.028893242
ND,BURKE,13,1369,1353,16,0.9883,0.0117,0.9883126369612856,0.011687363
ND,BURLEIGH,15,65201,61771,3430,0.9474,0.0526,0.9473934448858147,0.052606555
